Date,Employment Rate (%),Unemployment Rate (%)
1971,71.8,4.1
1972,72.0,4.3
1973,72.9,3.7
1974,73.0,3.7
1975,72.6,4.5
1976,71.9,5.4
1977,71.6,5.6
1978,71.6,5.5
1979,71.8,5.4
1980,70.8,6.8
1981,68.5,9.6
1982,66.8,10.7
1983,65.9,11.5
1984,66.8,11.8
1985,67.4,11.4
1986,67.7,11.3
1987,68.8,10.4
1988,70.9,8.6
1989,72.5,7.2
1990,72.7,7.1
1991,70.7,8.9
1992,69.0,9.9
1993,68.4,10.4
1994,68.9,9.5
1995,69.5,8.6
1996,70.0,8.1
1997,71.0,6.9
1998,71.5,6.2
1999,72.1,6.0
2000,72.5,5.4
2001,72.6,5.1
2002,72.7,5.2
2003,72.8,5.0
2004,72.9,4.8
2005,72.9,4.8
2006,72.8,5.4
2007,72.7,5.3
2008,72.6,5.7
2009,70.9,7.6
2010,70.4,7.9
2011,70.3,8.1
2012,71.0,8.0
2013,71.5,7.6
2014,72.8,6.2
2015,73.6,5.4
2016,74.2,4.9
2017,74.8,4.4
2018,75.4,4.2
2019,75.8,3.9
2020,75.0,4.7
2021,74.7,4.6
2022,75.1,3.9
2023,75.1,4.0
