Year,Total Managed Expenditure,Current Spending,Public Sector net investment,Depreciation,Social Security (All),Social Security (Pensioners),Social Security (Non-Pensioners),Health,Education,Defence,Public Order & Safety,Transport,Housing and Community Amenities,Overseas Aid,PS Net debt interest,PS Gross debt interest,Long Term Care,Day-to-day public services,Nominal GDP
1979-80,95.2,79.5,5.9,9.9,19.391323210412153,11.139696312364428,8.251626898047725,8.955566922802003,10.911764705882353,9.4994708994709,3.2,3.5343283582089553,6.282926829268293,0.96125,8.384,10.576,0,61.52467678958784,232.7
1980-81,114.5,96.6,6,11.9,23.413991323210414,13.305748373101956,10.108242950108458,11.037462919942818,13.301960784313728,11.621693121693124,4,4.107462686567164,6.282926829268293,0.868,10.048,12.587,0,75.03800867678959,267.6
1981-82,127.9,110.6,4.4,13,28.57125813449024,15.781236442516272,12.790021691973967,12.477695228734813,14.445098039215688,12.935449735449737,4.6,4.585074626865671,4.71219512195122,1.06775,11.745,14.864,0,83.18374186550976,298.3
1982-83,141.4,121.4,6.3,13.6,32.59392624728851,17.63785249457701,14.956073752711497,13.52245688884918,15.588235294117649,14.754497354497357,5.2,5.062686567164179,4.263414634146342,1.03625,11.908,15.493,0,90.59807375271149,327.5
1983-84,153.2,131,7.8,14.3,36.410303687635576,19.18503253796096,17.225271149674615,14.456622364188707,16.419607843137257,15.866137566137567,5.7,5.062686567164179,4.936585365853659,1.06325,12.383,15.895,0,96.6066963123644,358.1
1984-85,163.9,141.8,7.5,14.6,39.504663774403475,20.52592190889371,18.978741865509765,15.372930218012867,17.04313725490196,17.584126984126986,6.4,6.4,5.048780487804878,1.0975,13.955,17.503,0,102.94033622559654,386
1985-86,171.3,150.6,6.3,14.4,43.114750542299355,22.48568329718005,20.629067245119305,16.477257639385275,17.562745098039215,18.392592592592592,6.6,6.495522388059701,4.6,1.18125,14.585,19.315,0,107.30024945770063,423.8
1986-87,179,158.9,4.2,15.9,46.31225596529285,24.23915401301519,22.073101952277657,17.89926912080057,19.329411764705885,18.594708994708995,7.2,6.4,4.487804878048781,1.17425,14.919,19.174,0,113.56874403470717,455.6
1987-88,190.2,170.2,1.4,18.6,48.16887201735359,25.68318872017354,22.485683297180053,20.50999285203717,21.2,19.1,8.1,6.4,4.6,1.22775,15.263,19.914,0,125.36812798264637,511.9
1988-89,197.3,177.2,0.2,19.9,48.78774403470717,26.9209327548807,21.866811279826468,22.68438527519657,23.1,19.4,9,6.3,3.6,1.50825,15.117,20.359,0,133.19525596529286,570.6
